VARIABLES,BETAS,BIN,WOE,PUNTOS
fat_categ,0.9215788388005431,"[-inf,2.0)",-3.83327395899583,-65.0
fat_categ,0.9215788388005431,"[2.0,inf)",0.311341152566137,44.0
odor_categ,1.0946418344925681,"[-inf,2.0)",-0.826491849255254,10.0
odor_categ,1.0946418344925681,"[2.0,inf)",0.48230757626989895,51.0
taste_categ,0.9836151048023132,"[-inf,2.0)",-0.13577038243779632,32.0
taste_categ,0.9836151048023132,"[2.0,inf)",0.08488403499983217,38.0
temperature_categ,1.1125759531457315,"[2.0,inf)",-0.4528226152812407,21.0
temperature_categ,1.1125759531457315,"[-inf,2.0)",1.1256102700479804,72.0
turbidity_categ,1.628692073947961,"[2.0,inf)",-0.08224111290029451,32.0
turbidity_categ,1.628692073947961,"[-inf,2.0)",0.18624681142852595,45.0
